Group: 224.0.1.129              	Source: 144.92.149.96/32         	Router: 64.57.28.241      	Packets/Second:     16
Group: 224.0.1.129              	Source: 128.104.13.52/32         	Router: 64.57.28.241      	Packets/Second:     17
Group: 224.4.0.10               	Source: 130.206.3.133/32         	Router: 64.57.28.242      	Packets/Second:    216
Group: 232.223.222.1            	Source: 193.17.9.3/32            	Router: 64.57.28.249      	Packets/Second:    191
Group: 232.223.222.1            	Source: 193.17.9.3/32            	Router: 64.57.28.241      	Packets/Second:    221
Group: 232.223.222.1            	Source: 193.17.9.3/32            	Router: 64.57.28.250      	Packets/Second:    418
Group: 232.223.222.1            	Source: 193.17.9.3/32            	Router: 64.57.28.247      	Packets/Second:    301
Group: 232.223.222.2            	Source: 193.17.9.3/32            	Router: 64.57.28.249      	Packets/Second:   1782
Group: 232.223.222.2            	Source: 193.17.9.3/32            	Router: 64.57.28.241      	Packets/Second:   1776
Group: 232.223.222.3            	Source: 193.17.9.3/32            	Router: 64.57.28.249      	Packets/Second:   1925
Group: 232.223.222.3            	Source: 193.17.9.3/32            	Router: 64.57.28.241      	Packets/Second:   1911
Group: 232.223.222.3            	Source: 193.17.9.3/32            	Router: 64.57.28.250      	Packets/Second:   1878
Group: 232.223.222.3            	Source: 193.17.9.3/32            	Router: 64.57.28.247      	Packets/Second:   1916
Group: 232.223.222.4            	Source: 193.17.9.3/32            	Router: 64.57.28.241      	Packets/Second:    140
Group: 232.223.222.4            	Source: 193.17.9.3/32            	Router: 64.57.28.250      	Packets/Second:    123
Group: 232.223.222.4            	Source: 193.17.9.3/32            	Router: 64.57.28.247      	Packets/Second:    124
Group: 232.223.222.4            	Source: 193.17.9.3/32            	Router: 64.57.28.249      	Packets/Second:    141
Group: 232.223.222.5            	Source: 193.17.9.3/32            	Router: 64.57.28.250      	Packets/Second:    751
Group: 232.223.222.5            	Source: 193.17.9.3/32            	Router: 64.57.28.247      	Packets/Second:    748
Group: 232.223.222.5            	Source: 193.17.9.3/32            	Router: 64.57.28.249      	Packets/Second:    775
Group: 233.1.14.5               	Source: 198.116.200.36/32        	Router: 64.57.28.243      	Packets/Second:    167
Group: 233.1.14.5               	Source: 198.116.200.36/32        	Router: 64.57.28.249      	Packets/Second:    167
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.241      	Packets/Second:   1139
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.248      	Packets/Second:   1139
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.242      	Packets/Second:   1139
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.250      	Packets/Second:   1139
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.247      	Packets/Second:   1141
Group: 233.44.15.9              	Source: 129.174.131.51/32        	Router: 64.57.28.249      	Packets/Second:   1139
